,Run,Model,Groups,Adapter method,Subject / Task
1481,"mmlu:subject=computer_security,method=multiple_choice_joint,model=cohere_command-r-plus",cohere/command-r-plus,mmlu,multiple_choice_joint,computer_security
1482,"mmlu:subject=computer_security,method=multiple_choice_joint,model=mistralai_mistral-7b-instruct-v0.3",mistralai/mistral-7b-instruct-v0.3,mmlu,multiple_choice_joint,computer_security
1483,"mmlu:subject=computer_security,method=multiple_choice_joint,model=openai_gpt-4-turbo-2024-04-09",openai/gpt-4-turbo-2024-04-09,mmlu,multiple_choice_joint,computer_security
1484,"mmlu:subject=computer_security,method=multiple_choice_joint,model=openai_gpt-4o-2024-05-13",openai/gpt-4o-2024-05-13,mmlu,multiple_choice_joint,computer_security
1485,"mmlu:subject=computer_security,method=multiple_choice_joint,model=qwen_qwen1.5-110b-chat",qwen/qwen1.5-110b-chat,mmlu,multiple_choice_joint,computer_security
1486,"mmlu:subject=computer_security,method=multiple_choice_joint,model=qwen_qwen2-72b-instruct",qwen/qwen2-72b-instruct,mmlu,multiple_choice_joint,computer_security
1487,"mmlu:subject=computer_security,method=multiple_choice_joint,model=snowflake_snowflake-arctic-instruct",snowflake/snowflake-arctic-instruct,mmlu,multiple_choice_joint,computer_security
1488,"mmlu:subject=econometrics,method=multiple_choice_joint,model=cohere_command-r",cohere/command-r,mmlu,multiple_choice_joint,econometrics
1489,"mmlu:subject=econometrics,method=multiple_choice_joint,model=cohere_command-r-plus",cohere/command-r-plus,mmlu,multiple_choice_joint,econometrics
1490,"mmlu:subject=econometrics,method=multiple_choice_joint,model=mistralai_mistral-7b-instruct-v0.3",mistralai/mistral-7b-instruct-v0.3,mmlu,multiple_choice_joint,econometrics
1491,"mmlu:subject=econometrics,method=multiple_choice_joint,model=openai_gpt-4-turbo-2024-04-09",openai/gpt-4-turbo-2024-04-09,mmlu,multiple_choice_joint,econometrics
1492,"mmlu:subject=econometrics,method=multiple_choice_joint,model=openai_gpt-4o-2024-05-13",openai/gpt-4o-2024-05-13,mmlu,multiple_choice_joint,econometrics
1493,"mmlu:subject=econometrics,method=multiple_choice_joint,model=qwen_qwen1.5-110b-chat",qwen/qwen1.5-110b-chat,mmlu,multiple_choice_joint,econometrics
1494,"mmlu:subject=econometrics,method=multiple_choice_joint,model=qwen_qwen2-72b-instruct",qwen/qwen2-72b-instruct,mmlu,multiple_choice_joint,econometrics
1495,"mmlu:subject=econometrics,method=multiple_choice_joint,model=snowflake_snowflake-arctic-instruct",snowflake/snowflake-arctic-instruct,mmlu,multiple_choice_joint,econometrics
1496,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=cohere_command-r",cohere/command-r,mmlu,multiple_choice_joint,us_foreign_policy
1497,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=cohere_command-r-plus",cohere/command-r-plus,mmlu,multiple_choice_joint,us_foreign_policy
1498,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=mistralai_mistral-7b-instruct-v0.3",mistralai/mistral-7b-instruct-v0.3,mmlu,multiple_choice_joint,us_foreign_policy
1499,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=openai_gpt-4-turbo-2024-04-09",openai/gpt-4-turbo-2024-04-09,mmlu,multiple_choice_joint,us_foreign_policy
1500,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=openai_gpt-4o-2024-05-13",openai/gpt-4o-2024-05-13,mmlu,multiple_choice_joint,us_foreign_policy
1501,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=qwen_qwen1.5-110b-chat",qwen/qwen1.5-110b-chat,mmlu,multiple_choice_joint,us_foreign_policy
1502,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=qwen_qwen2-72b-instruct",qwen/qwen2-72b-instruct,mmlu,multiple_choice_joint,us_foreign_policy
1503,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=snowflake_snowflake-arctic-instruct",snowflake/snowflake-arctic-instruct,mmlu,multiple_choice_joint,us_foreign_policy
1504,narrative_qa:model=cohere_command-r,cohere/command-r,narrative_qa,generation,-
1505,narrative_qa:model=cohere_command-r-plus,cohere/command-r-plus,narrative_qa,generation,-
1506,narrative_qa:model=mistralai_mistral-7b-instruct-v0.3,mistralai/mistral-7b-instruct-v0.3,narrative_qa,generation,-
1507,narrative_qa:model=openai_gpt-4-turbo-2024-04-09,openai/gpt-4-turbo-2024-04-09,narrative_qa,generation,-
1508,narrative_qa:model=openai_gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13,narrative_qa,generation,-
1509,narrative_qa:model=qwen_qwen1.5-110b-chat,qwen/qwen1.5-110b-chat,narrative_qa,generation,-
1510,narrative_qa:model=qwen_qwen2-72b-instruct,qwen/qwen2-72b-instruct,narrative_qa,generation,-
1511,narrative_qa:model=snowflake_snowflake-arctic-instruct,snowflake/snowflake-arctic-instruct,narrative_qa,generation,-
1512,"natural_qa:mode=closedbook,model=cohere_command-r",cohere/command-r,natural_qa_closedbook,generation,-
1513,"natural_qa:mode=closedbook,model=cohere_command-r-plus",cohere/command-r-plus,natural_qa_closedbook,generation,-
1514,"natural_qa:mode=closedbook,model=mistralai_mistral-7b-instruct-v0.3",mistralai/mistral-7b-instruct-v0.3,natural_qa_closedbook,generation,-
1515,"natural_qa:mode=closedbook,model=openai_gpt-4-turbo-2024-04-09",openai/gpt-4-turbo-2024-04-09,natural_qa_closedbook,generation,-
1516,"natural_qa:mode=closedbook,model=openai_gpt-4o-2024-05-13",openai/gpt-4o-2024-05-13,natural_qa_closedbook,generation,-
1517,"natural_qa:mode=closedbook,model=qwen_qwen1.5-110b-chat",qwen/qwen1.5-110b-chat,natural_qa_closedbook,generation,-
1518,"natural_qa:mode=closedbook,model=qwen_qwen2-72b-instruct",qwen/qwen2-72b-instruct,natural_qa_closedbook,generation,-
1519,"natural_qa:mode=closedbook,model=snowflake_snowflake-arctic-instruct",snowflake/snowflake-arctic-instruct,natural_qa_closedbook,generation,-
1520,"natural_qa:mode=openbook_longans,model=cohere_command-r",cohere/command-r,natural_qa_openbook_longans,generation,-
1521,"natural_qa:mode=openbook_longans,model=cohere_command-r-plus",cohere/command-r-plus,natural_qa_openbook_longans,generation,-
1522,"natural_qa:mode=openbook_longans,model=mistralai_mistral-7b-instruct-v0.3",mistralai/mistral-7b-instruct-v0.3,natural_qa_openbook_longans,generation,-
1523,"natural_qa:mode=openbook_longans,model=openai_gpt-4-turbo-2024-04-09",openai/gpt-4-turbo-2024-04-09,natural_qa_openbook_longans,generation,-
1524,"natural_qa:mode=openbook_longans,model=openai_gpt-4o-2024-05-13",openai/gpt-4o-2024-05-13,natural_qa_openbook_longans,generation,-
1525,"natural_qa:mode=openbook_longans,model=qwen_qwen1.5-110b-chat",qwen/qwen1.5-110b-chat,natural_qa_openbook_longans,generation,-
1526,"natural_qa:mode=openbook_longans,model=qwen_qwen2-72b-instruct",qwen/qwen2-72b-instruct,natural_qa_openbook_longans,generation,-
1527,"natural_qa:mode=openbook_longans,model=snowflake_snowflake-arctic-instruct",snowflake/snowflake-arctic-instruct,natural_qa_openbook_longans,generation,-
1528,"wmt_14:language_pair=cs-en,model=cohere_command-r",cohere/command-r,wmt_14,generation,-
1529,"wmt_14:language_pair=cs-en,model=cohere_command-r-plus",cohere/command-r-plus,wmt_14,generation,-
1530,"wmt_14:language_pair=cs-en,model=mistralai_mistral-7b-instruct-v0.3",mistralai/mistral-7b-instruct-v0.3,wmt_14,generation,-
1531,"wmt_14:language_pair=cs-en,model=openai_gpt-4-turbo-2024-04-09",openai/gpt-4-turbo-2024-04-09,wmt_14,generation,-
1532,"wmt_14:language_pair=cs-en,model=openai_gpt-4o-2024-05-13",openai/gpt-4o-2024-05-13,wmt_14,generation,-
1533,"wmt_14:language_pair=cs-en,model=qwen_qwen1.5-110b-chat",qwen/qwen1.5-110b-chat,wmt_14,generation,-
1534,"wmt_14:language_pair=cs-en,model=qwen_qwen2-72b-instruct",qwen/qwen2-72b-instruct,wmt_14,generation,-
1535,"wmt_14:language_pair=cs-en,model=snowflake_snowflake-arctic-instruct",snowflake/snowflake-arctic-instruct,wmt_14,generation,-
1536,"wmt_14:language_pair=de-en,model=cohere_command-r",cohere/command-r,wmt_14,generation,-
1537,"wmt_14:language_pair=de-en,model=cohere_command-r-plus",cohere/command-r-plus,wmt_14,generation,-
1538,"wmt_14:language_pair=de-en,model=mistralai_mistral-7b-instruct-v0.3",mistralai/mistral-7b-instruct-v0.3,wmt_14,generation,-
1539,"wmt_14:language_pair=de-en,model=openai_gpt-4-turbo-2024-04-09",openai/gpt-4-turbo-2024-04-09,wmt_14,generation,-
1540,"wmt_14:language_pair=de-en,model=openai_gpt-4o-2024-05-13",openai/gpt-4o-2024-05-13,wmt_14,generation,-
1541,"wmt_14:language_pair=de-en,model=qwen_qwen1.5-110b-chat",qwen/qwen1.5-110b-chat,wmt_14,generation,-
1542,"wmt_14:language_pair=de-en,model=qwen_qwen2-72b-instruct",qwen/qwen2-72b-instruct,wmt_14,generation,-
1543,"wmt_14:language_pair=de-en,model=snowflake_snowflake-arctic-instruct",snowflake/snowflake-arctic-instruct,wmt_14,generation,-
1544,"wmt_14:language_pair=fr-en,model=cohere_command-r",cohere/command-r,wmt_14,generation,-
1545,"wmt_14:language_pair=fr-en,model=cohere_command-r-plus",cohere/command-r-plus,wmt_14,generation,-
1546,"wmt_14:language_pair=fr-en,model=mistralai_mistral-7b-instruct-v0.3",mistralai/mistral-7b-instruct-v0.3,wmt_14,generation,-
1547,"wmt_14:language_pair=fr-en,model=openai_gpt-4-turbo-2024-04-09",openai/gpt-4-turbo-2024-04-09,wmt_14,generation,-
1548,"wmt_14:language_pair=fr-en,model=openai_gpt-4o-2024-05-13",openai/gpt-4o-2024-05-13,wmt_14,generation,-
1549,"wmt_14:language_pair=fr-en,model=qwen_qwen1.5-110b-chat",qwen/qwen1.5-110b-chat,wmt_14,generation,-
1550,"wmt_14:language_pair=fr-en,model=qwen_qwen2-72b-instruct",qwen/qwen2-72b-instruct,wmt_14,generation,-
1551,"wmt_14:language_pair=fr-en,model=snowflake_snowflake-arctic-instruct",snowflake/snowflake-arctic-instruct,wmt_14,generation,-
1552,"wmt_14:language_pair=hi-en,model=cohere_command-r",cohere/command-r,wmt_14,generation,-
1553,"wmt_14:language_pair=hi-en,model=cohere_command-r-plus",cohere/command-r-plus,wmt_14,generation,-
1554,"wmt_14:language_pair=hi-en,model=mistralai_mistral-7b-instruct-v0.3",mistralai/mistral-7b-instruct-v0.3,wmt_14,generation,-
1555,"wmt_14:language_pair=hi-en,model=openai_gpt-4-turbo-2024-04-09",openai/gpt-4-turbo-2024-04-09,wmt_14,generation,-
1556,"wmt_14:language_pair=hi-en,model=openai_gpt-4o-2024-05-13",openai/gpt-4o-2024-05-13,wmt_14,generation,-
1557,"wmt_14:language_pair=hi-en,model=qwen_qwen1.5-110b-chat",qwen/qwen1.5-110b-chat,wmt_14,generation,-
1558,"wmt_14:language_pair=hi-en,model=qwen_qwen2-72b-instruct",qwen/qwen2-72b-instruct,wmt_14,generation,-
1559,"wmt_14:language_pair=hi-en,model=snowflake_snowflake-arctic-instruct",snowflake/snowflake-arctic-instruct,wmt_14,generation,-
1560,"wmt_14:language_pair=ru-en,model=cohere_command-r",cohere/command-r,wmt_14,generation,-
1561,"wmt_14:language_pair=ru-en,model=cohere_command-r-plus",cohere/command-r-plus,wmt_14,generation,-
1562,"wmt_14:language_pair=ru-en,model=mistralai_mistral-7b-instruct-v0.3",mistralai/mistral-7b-instruct-v0.3,wmt_14,generation,-
1563,"wmt_14:language_pair=ru-en,model=openai_gpt-4-turbo-2024-04-09",openai/gpt-4-turbo-2024-04-09,wmt_14,generation,-
1564,"wmt_14:language_pair=ru-en,model=openai_gpt-4o-2024-05-13",openai/gpt-4o-2024-05-13,wmt_14,generation,-
1565,"wmt_14:language_pair=ru-en,model=qwen_qwen1.5-110b-chat",qwen/qwen1.5-110b-chat,wmt_14,generation,-
1566,"wmt_14:language_pair=ru-en,model=qwen_qwen2-72b-instruct",qwen/qwen2-72b-instruct,wmt_14,generation,-
1567,"wmt_14:language_pair=ru-en,model=snowflake_snowflake-arctic-instruct",snowflake/snowflake-arctic-instruct,wmt_14,generation,-
1568,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=01-ai_yi-large-preview",01-ai/yi-large-preview,openbookqa,multiple_choice_joint,-
1569,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=anthropic_claude-3-5-sonnet-20240620",anthropic/claude-3-5-sonnet-20240620,openbookqa,multiple_choice_joint,-
1570,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=google_gemini-1.0-pro-002",google/gemini-1.0-pro-002,openbookqa,multiple_choice_joint,-
1571,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=google_gemini-1.5-flash-001",google/gemini-1.5-flash-001,openbookqa,multiple_choice_joint,-
1572,"commonsense:dataset=openbookqa,method=multiple_choice_joint,model=google_gemini-1.5-pro-001",google/gemini-1.5-pro-001,openbookqa,multiple_choice_joint,-
1573,"gsm:model=01-ai_yi-large-preview,stop=none",01-ai/yi-large-preview,gsm,generation,-
1574,gsm:model=anthropic_claude-3-5-sonnet-20240620,anthropic/claude-3-5-sonnet-20240620,gsm,generation,-
1575,"gsm:model=google_gemini-1.0-pro-002,stop=none",google/gemini-1.0-pro-002,gsm,generation,-
1576,"gsm:model=google_gemini-1.5-flash-001,stop=none",google/gemini-1.5-flash-001,gsm,generation,-
1577,"gsm:model=google_gemini-1.5-pro-001,stop=none",google/gemini-1.5-pro-001,gsm,generation,-
1578,"legalbench:subset=abercrombie,model=01-ai_yi-large-preview",01-ai/yi-large-preview,legalbench,generation,-
1579,"legalbench:subset=abercrombie,model=anthropic_claude-3-5-sonnet-20240620",anthropic/claude-3-5-sonnet-20240620,legalbench,generation,-
1580,"legalbench:subset=abercrombie,model=google_gemini-1.0-pro-002",google/gemini-1.0-pro-002,legalbench,generation,-
1581,"legalbench:subset=abercrombie,model=google_gemini-1.5-flash-001",google/gemini-1.5-flash-001,legalbench,generation,-
1582,"legalbench:subset=abercrombie,model=google_gemini-1.5-pro-001",google/gemini-1.5-pro-001,legalbench,generation,-
1583,"legalbench:subset=corporate_lobbying,model=01-ai_yi-large-preview",01-ai/yi-large-preview,legalbench,generation,-
1584,"legalbench:subset=corporate_lobbying,model=anthropic_claude-3-5-sonnet-20240620",anthropic/claude-3-5-sonnet-20240620,legalbench,generation,-
1585,"legalbench:subset=corporate_lobbying,model=google_gemini-1.0-pro-002",google/gemini-1.0-pro-002,legalbench,generation,-
1586,"legalbench:subset=corporate_lobbying,model=google_gemini-1.5-flash-001",google/gemini-1.5-flash-001,legalbench,generation,-
1587,"legalbench:subset=corporate_lobbying,model=google_gemini-1.5-pro-001",google/gemini-1.5-pro-001,legalbench,generation,-
1588,"legalbench:subset=function_of_decision_section,model=01-ai_yi-large-preview",01-ai/yi-large-preview,legalbench,generation,-
1589,"legalbench:subset=function_of_decision_section,model=anthropic_claude-3-5-sonnet-20240620",anthropic/claude-3-5-sonnet-20240620,legalbench,generation,-
1590,"legalbench:subset=function_of_decision_section,model=google_gemini-1.0-pro-002",google/gemini-1.0-pro-002,legalbench,generation,-
1591,"legalbench:subset=function_of_decision_section,model=google_gemini-1.5-flash-001",google/gemini-1.5-flash-001,legalbench,generation,-
1592,"legalbench:subset=function_of_decision_section,model=google_gemini-1.5-pro-001",google/gemini-1.5-pro-001,legalbench,generation,-
1593,"legalbench:subset=international_citizenship_questions,model=01-ai_yi-large-preview",01-ai/yi-large-preview,legalbench,generation,-
1594,"legalbench:subset=international_citizenship_questions,model=anthropic_claude-3-5-sonnet-20240620",anthropic/claude-3-5-sonnet-20240620,legalbench,generation,-
1595,"legalbench:subset=international_citizenship_questions,model=google_gemini-1.0-pro-002",google/gemini-1.0-pro-002,legalbench,generation,-
1596,"legalbench:subset=international_citizenship_questions,model=google_gemini-1.5-flash-001",google/gemini-1.5-flash-001,legalbench,generation,-
1597,"legalbench:subset=international_citizenship_questions,model=google_gemini-1.5-pro-001",google/gemini-1.5-pro-001,legalbench,generation,-
1598,"legalbench:subset=proa,model=01-ai_yi-large-preview",01-ai/yi-large-preview,legalbench,generation,-
1599,"legalbench:subset=proa,model=anthropic_claude-3-5-sonnet-20240620",anthropic/claude-3-5-sonnet-20240620,legalbench,generation,-
1600,"legalbench:subset=proa,model=google_gemini-1.0-pro-002",google/gemini-1.0-pro-002,legalbench,generation,-
1601,"legalbench:subset=proa,model=google_gemini-1.5-flash-001",google/gemini-1.5-flash-001,legalbench,generation,-
1602,"legalbench:subset=proa,model=google_gemini-1.5-pro-001",google/gemini-1.5-pro-001,legalbench,generation,-
1603,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=01-ai_yi-large-preview",01-ai/yi-large-preview,math_chain_of_thought,generation,algebra
1604,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=anthropic_claude-3-5-sonnet-20240620",anthropic/claude-3-5-sonnet-20240620,math_chain_of_thought,generation,algebra
1605,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_gemini-1.0-pro-002",google/gemini-1.0-pro-002,math_chain_of_thought,generation,algebra
1606,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_gemini-1.5-flash-001",google/gemini-1.5-flash-001,math_chain_of_thought,generation,algebra
1607,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_gemini-1.5-pro-001",google/gemini-1.5-pro-001,math_chain_of_thought,generation,algebra
1608,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=01-ai_yi-large-preview",01-ai/yi-large-preview,math_chain_of_thought,generation,counting_and_probability
1609,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=anthropic_claude-3-5-sonnet-20240620",anthropic/claude-3-5-sonnet-20240620,math_chain_of_thought,generation,counting_and_probability
1610,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_gemini-1.0-pro-002",google/gemini-1.0-pro-002,math_chain_of_thought,generation,counting_and_probability
1611,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_gemini-1.5-flash-001",google/gemini-1.5-flash-001,math_chain_of_thought,generation,counting_and_probability
1612,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_gemini-1.5-pro-001",google/gemini-1.5-pro-001,math_chain_of_thought,generation,counting_and_probability
1613,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=01-ai_yi-large-preview",01-ai/yi-large-preview,math_chain_of_thought,generation,geometry
1614,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=anthropic_claude-3-5-sonnet-20240620",anthropic/claude-3-5-sonnet-20240620,math_chain_of_thought,generation,geometry
1615,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_gemini-1.0-pro-002",google/gemini-1.0-pro-002,math_chain_of_thought,generation,geometry
1616,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_gemini-1.5-flash-001",google/gemini-1.5-flash-001,math_chain_of_thought,generation,geometry
1617,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_gemini-1.5-pro-001",google/gemini-1.5-pro-001,math_chain_of_thought,generation,geometry
1618,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=01-ai_yi-large-preview",01-ai/yi-large-preview,math_chain_of_thought,generation,intermediate_algebra
1619,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=anthropic_claude-3-5-sonnet-20240620",anthropic/claude-3-5-sonnet-20240620,math_chain_of_thought,generation,intermediate_algebra
1620,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_gemini-1.0-pro-002",google/gemini-1.0-pro-002,math_chain_of_thought,generation,intermediate_algebra
1621,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_gemini-1.5-flash-001",google/gemini-1.5-flash-001,math_chain_of_thought,generation,intermediate_algebra
1622,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_gemini-1.5-pro-001",google/gemini-1.5-pro-001,math_chain_of_thought,generation,intermediate_algebra
1623,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=01-ai_yi-large-preview",01-ai/yi-large-preview,math_chain_of_thought,generation,number_theory
1624,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=anthropic_claude-3-5-sonnet-20240620",anthropic/claude-3-5-sonnet-20240620,math_chain_of_thought,generation,number_theory
1625,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_gemini-1.0-pro-002",google/gemini-1.0-pro-002,math_chain_of_thought,generation,number_theory
1626,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_gemini-1.5-flash-001",google/gemini-1.5-flash-001,math_chain_of_thought,generation,number_theory
1627,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_gemini-1.5-pro-001",google/gemini-1.5-pro-001,math_chain_of_thought,generation,number_theory
1628,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=01-ai_yi-large-preview",01-ai/yi-large-preview,math_chain_of_thought,generation,prealgebra
1629,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=anthropic_claude-3-5-sonnet-20240620",anthropic/claude-3-5-sonnet-20240620,math_chain_of_thought,generation,prealgebra
1630,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_gemini-1.0-pro-002",google/gemini-1.0-pro-002,math_chain_of_thought,generation,prealgebra
1631,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_gemini-1.5-flash-001",google/gemini-1.5-flash-001,math_chain_of_thought,generation,prealgebra
1632,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_gemini-1.5-pro-001",google/gemini-1.5-pro-001,math_chain_of_thought,generation,prealgebra
1633,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=01-ai_yi-large-preview",01-ai/yi-large-preview,math_chain_of_thought,generation,precalculus
1634,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=anthropic_claude-3-5-sonnet-20240620",anthropic/claude-3-5-sonnet-20240620,math_chain_of_thought,generation,precalculus
1635,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_gemini-1.0-pro-002",google/gemini-1.0-pro-002,math_chain_of_thought,generation,precalculus
1636,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_gemini-1.5-flash-001",google/gemini-1.5-flash-001,math_chain_of_thought,generation,precalculus
1637,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_gemini-1.5-pro-001",google/gemini-1.5-pro-001,math_chain_of_thought,generation,precalculus
1638,med_qa:model=01-ai_yi-large-preview,01-ai/yi-large-preview,med_qa,multiple_choice_joint,-
1639,med_qa:model=anthropic_claude-3-5-sonnet-20240620,anthropic/claude-3-5-sonnet-20240620,med_qa,multiple_choice_joint,-
1640,med_qa:model=google_gemini-1.0-pro-002,google/gemini-1.0-pro-002,med_qa,multiple_choice_joint,-
1641,med_qa:model=google_gemini-1.5-flash-001,google/gemini-1.5-flash-001,med_qa,multiple_choice_joint,-
1642,med_qa:model=google_gemini-1.5-pro-001,google/gemini-1.5-pro-001,med_qa,multiple_choice_joint,-
1643,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=01-ai_yi-large-preview",01-ai/yi-large-preview,mmlu,multiple_choice_joint,abstract_algebra
1644,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=anthropic_claude-3-5-sonnet-20240620",anthropic/claude-3-5-sonnet-20240620,mmlu,multiple_choice_joint,abstract_algebra
1645,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=google_gemini-1.0-pro-002",google/gemini-1.0-pro-002,mmlu,multiple_choice_joint,abstract_algebra
1646,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=google_gemini-1.5-flash-001",google/gemini-1.5-flash-001,mmlu,multiple_choice_joint,abstract_algebra
1647,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=google_gemini-1.5-pro-001",google/gemini-1.5-pro-001,mmlu,multiple_choice_joint,abstract_algebra
1648,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=01-ai_yi-large-preview",01-ai/yi-large-preview,mmlu,multiple_choice_joint,college_chemistry
1649,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=anthropic_claude-3-5-sonnet-20240620",anthropic/claude-3-5-sonnet-20240620,mmlu,multiple_choice_joint,college_chemistry
1650,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=google_gemini-1.0-pro-002",google/gemini-1.0-pro-002,mmlu,multiple_choice_joint,college_chemistry
1651,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=google_gemini-1.5-flash-001",google/gemini-1.5-flash-001,mmlu,multiple_choice_joint,college_chemistry
1652,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=google_gemini-1.5-pro-001",google/gemini-1.5-pro-001,mmlu,multiple_choice_joint,college_chemistry
1653,"mmlu:subject=computer_security,method=multiple_choice_joint,model=01-ai_yi-large-preview",01-ai/yi-large-preview,mmlu,multiple_choice_joint,computer_security
1654,"mmlu:subject=computer_security,method=multiple_choice_joint,model=anthropic_claude-3-5-sonnet-20240620",anthropic/claude-3-5-sonnet-20240620,mmlu,multiple_choice_joint,computer_security
1655,"mmlu:subject=computer_security,method=multiple_choice_joint,model=google_gemini-1.0-pro-002",google/gemini-1.0-pro-002,mmlu,multiple_choice_joint,computer_security
1656,"mmlu:subject=computer_security,method=multiple_choice_joint,model=google_gemini-1.5-flash-001",google/gemini-1.5-flash-001,mmlu,multiple_choice_joint,computer_security
1657,"mmlu:subject=computer_security,method=multiple_choice_joint,model=google_gemini-1.5-pro-001",google/gemini-1.5-pro-001,mmlu,multiple_choice_joint,computer_security
1658,"mmlu:subject=econometrics,method=multiple_choice_joint,model=01-ai_yi-large-preview",01-ai/yi-large-preview,mmlu,multiple_choice_joint,econometrics
1659,"mmlu:subject=econometrics,method=multiple_choice_joint,model=anthropic_claude-3-5-sonnet-20240620",anthropic/claude-3-5-sonnet-20240620,mmlu,multiple_choice_joint,econometrics
1660,"mmlu:subject=econometrics,method=multiple_choice_joint,model=google_gemini-1.0-pro-002",google/gemini-1.0-pro-002,mmlu,multiple_choice_joint,econometrics
1661,"mmlu:subject=econometrics,method=multiple_choice_joint,model=google_gemini-1.5-flash-001",google/gemini-1.5-flash-001,mmlu,multiple_choice_joint,econometrics
1662,"mmlu:subject=econometrics,method=multiple_choice_joint,model=google_gemini-1.5-pro-001",google/gemini-1.5-pro-001,mmlu,multiple_choice_joint,econometrics
1663,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=01-ai_yi-large-preview",01-ai/yi-large-preview,mmlu,multiple_choice_joint,us_foreign_policy
1664,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=anthropic_claude-3-5-sonnet-20240620",anthropic/claude-3-5-sonnet-20240620,mmlu,multiple_choice_joint,us_foreign_policy
1665,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=google_gemini-1.0-pro-002",google/gemini-1.0-pro-002,mmlu,multiple_choice_joint,us_foreign_policy
